,Brand,Type,Capacity,Connectivity,Category
0,Seagate,Portable Hard Drive, 1.5 TB, USB 3.0 USB 2.0,HardDisk
1,WD,Portable Hard Drive, 1 TB, USB 2.0 USB 3.0,HardDisk
2,WD,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
3,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
4,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
5,WD,Portable Hard Drive, 2 TB, USB 2.0 USB 3.0,HardDisk
6,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
7,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
8,Toshiba,Portable Hard Drive, 4 TB, USB 2.0 USB 3.0,HardDisk
9,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
10,WD,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
11,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
12,Lenovo,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
13,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
14,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
15,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
16,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
17,Seagate,Portable Hard Drive, 500 GB, USB 2.0 USB 3.0,HardDisk
18,Seagate,Portable Hard Drive, 500 GB, USB 2.0 USB 3.0,HardDisk
19,Seagate,Portable Hard Drive, 5 TB, USB 3.0 USB 2.0,HardDisk
20,Seagate,Portable Hard Drive, 1.5 TB, USB 3.0 USB 2.0,HardDisk
21,WD,Portable Hard Drive, 1 TB, USB 2.0 USB 3.0,HardDisk
22,WD,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
23,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
24,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
25,WD,Portable Hard Drive, 2 TB, USB 2.0 USB 3.0,HardDisk
26,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
27,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
28,Toshiba,Portable Hard Drive, 4 TB, USB 2.0 USB 3.0,HardDisk
29,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
30,WD,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
31,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
32,Lenovo,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
33,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
34,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
35,Seagate,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
36,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
37,Seagate,Portable Hard Drive, 500 GB, USB 2.0 USB 3.0,HardDisk
38,Seagate,Portable Hard Drive, 500 GB, USB 2.0 USB 3.0,HardDisk
39,Seagate,Portable Hard Drive, 5 TB, USB 3.0 USB 2.0,HardDisk
40,Seagate,Portable Hard Drive, 1 TB, USB 3.0 USB 2.0,HardDisk
41,Toshiba,Portable Hard Drive, 1 TB, USB 2.0 USB 3.0,HardDisk
42,WD,Portable Hard Drive, 1 TB, USB 3.0,HardDisk
43,Lenovo,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
44,Seagate,Portable Hard Drive, 3 TB, USB 2.0 USB 3.0,HardDisk
45,Seagate,Portable Hard Drive, 5 TB, USB 3.0 USB 2.0,HardDisk
