,Brand,DisplayType,Dim,RespTime,HDMI,Category
0,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
1,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
2,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
3,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
4,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
5,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
6,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
7,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
8,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
9,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
10,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
11,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
12,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
13,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
14,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
15,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
16,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
17,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
18,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
19,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
20,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
21,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
22,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
23,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
24,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
25,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
26,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
27,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
28,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
29,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
30,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
31,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
32,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
33,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
34,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
35,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
36,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
37,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
38,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
39,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
40,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
41,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
42,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
43,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
44,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
45,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
46,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
47,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
48,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
49,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
50,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
51,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
52,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
53,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
54,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
55,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
56,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
57,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
58,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
59,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
60,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
61,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
62,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
63,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
64,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
65,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
66,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
67,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
68,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
69,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
70,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
71,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
72,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
73,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
74,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
75,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
76,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
77,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
78,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
79,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
80,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
81,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
82,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
83,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
84,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
85,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
86,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
87,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
88,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
89,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
90,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
91,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
92,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
93,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
94,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
95,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
96,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
97,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
98,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
99,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
100,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
101,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
102,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
103,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
104,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
105,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
106,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
107,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
108,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
109,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
110,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
111,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
112,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
113,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
114,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
115,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
116,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
117,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
118,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
119,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
120,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
121,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
122,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
123,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
124,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
125,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
126,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
127,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
128,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
129,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
130,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
131,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
132,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
133,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
134,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
135,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
136,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
137,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
138,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
139,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
140,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
141,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
142,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
143,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
144,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
145,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
146,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
147,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
148,Dell,,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
149,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
150,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
151,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
152,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
153,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
154,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
155,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
156,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
157,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
158,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
159,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
160,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
161,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
162,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
163,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
164,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
165,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
166,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
167,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
168,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
169,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
170,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
171,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
172,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
173,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
174,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
175,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
176,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
177,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
178,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
179,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
180,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
181,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
182,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
183,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
184,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
185,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
186,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
187,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
188,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
189,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
190,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
191,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
192,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
193,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
194,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
195,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
196,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
197,Dell,,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
198,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
199,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
200,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
201,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
202,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
203,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
204,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
205,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
206,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
207,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
208,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
209,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
210,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
211,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
212,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
213,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
214,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
215,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
216,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
217,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
218,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
219,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
220,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
221,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
222,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
223,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
224,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
225,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
226,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
227,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
228,Lenovo,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI,Monitor
229,HP,LED,60.45 cm (23.8 inch) Full HD ,5 ms,HDMI Ports - 1,Monitor
230,HP,LED Backlit,54.61 cm (21.5 inch) Full HD ,14 ms,HDMI Ports - 1,Monitor
231,Samsung,backlit led,54.61 cm (21.5 inch) Full HD ,4 ms,HDMI,Monitor
232,LG,LED Backlit,46.99 cm (18.5 inch) HD ,5 ms,HDMI Ports - 1,Monitor
233,Dell,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
234,LG,LED Backlit,55.88 cm (22 inch) Full HD ,5 ms,HDMI,Monitor
235,MarQ,LED Backlit,60.45 cm (23.8 inch) Full HD ,15 ms,HDMI,Monitor
236,Philips,LED,68.58 cm (27 inch) Full HD ,4 ms,HDMI Ports - 1,Monitor
237,Lenovo,LED,60.45 cm (23.8 inch) Full HD ,4 ms,HDMI,Monitor
