,Brand,Color_type,Print_type,Prod_spec,Category
0,Canon,Color,N o n e,N o n e,Printer and Scanner
1,Canon,Color,N o n e,Wireless,Printer and Scanner
2,HP,Monochrome,LaserJet,Wireless,Printer and Scanner
3,HP,Monochrome,LaserJet,N o n e,Printer and Scanner
4,HP,Color,DeskJet,Wireless,Printer and Scanner
5,Canon,Color,N o n e,N o n e,Printer and Scanner
6,HP,Color,DeskJet,Wireless,Printer and Scanner
7,HP,N o n e,DeskJet,N o n e,Printer and Scanner
8,Epson,Color,N o n e,Wireless,Printer and Scanner
9,Brother,Color,N o n e,Wireless,Printer and Scanner
10,Canon,Monochrome,N o n e,N o n e,Printer and Scanner
11,Canon,Color,N o n e,N o n e,Printer and Scanner
12,HP,Color,N o n e,N o n e,Printer and Scanner
13,Epson,Color,N o n e,N o n e,Printer and Scanner
14,HP,Color,N o n e,Wireless,Printer and Scanner
15,HP,Monochrome,LaserJet,N o n e,Printer and Scanner
16,HP,N o n e,DeskJet,N o n e,Printer and Scanner
17,HP,Color,DeskJet,N o n e,Printer and Scanner
18,Epson,Color,N o n e,Wireless,Printer and Scanner
19,HP,N o n e,DeskJet,N o n e,Printer and Scanner
20,HP,Color,N o n e,Wireless,Printer and Scanner
21,HP,Color,INKTANK,Wireless WIRELESS,Printer and Scanner
22,HP,Color,N o n e,N o n e,Printer and Scanner
23,Epson,Color,N o n e,N o n e,Printer and Scanner
24,HP,Color,InkTank,Wireless,Printer and Scanner
25,HP,Color,Inktank,N o n e,Printer and Scanner
26,HP,Color,InkTank,N o n e,Printer and Scanner
27,HP,Color,N o n e,N o n e,Printer and Scanner
28,Epson,Color,N o n e,N o n e,Printer and Scanner
29,Epson,Color,N o n e,Wireless,Printer and Scanner
30,Epson,Color,N o n e,N o n e,Printer and Scanner
31,Epson,Color,N o n e,Wireless,Printer and Scanner
32,Brother,Color,N o n e,N o n e,Printer and Scanner
33,Canon,Color,N o n e,N o n e,Printer and Scanner
34,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
35,Canon,Color,N o n e,Wireless,Printer and Scanner
36,HP,Color,DeskJet,Wireless,Printer and Scanner
37,Brother,Monochrome,N o n e,Wireless,Printer and Scanner
38,Canon,N o n e,Inkjet,N o n e,Printer and Scanner
39,Canon,Color,N o n e,N o n e,Printer and Scanner
40,Canon,Color,N o n e,N o n e,Printer and Scanner
41,HP,Color,N o n e,Wireless,Printer and Scanner
42,Canon,Color,N o n e,Wireless,Printer and Scanner
43,Epson,Color,N o n e,Wireless,Printer and Scanner
44,Brother,Color,N o n e,N o n e,Printer and Scanner
45,Samsung,Color,N o n e,N o n e,Printer and Scanner
46,Canon,Color,N o n e,N o n e,Printer and Scanner
47,Epson,Color,N o n e,Wireless,Printer and Scanner
48,Brother,Color,N o n e,N o n e,Printer and Scanner
49,Xerox,Monochrome,N o n e,Wireless,Printer and Scanner
50,HP,Color,N o n e,N o n e,Printer and Scanner
51,Epson,Color,N o n e,Wireless,Printer and Scanner
52,HP,Monochrome,LaserJet,Wireless,Printer and Scanner
53,HP,Color,DeskJet,N o n e,Printer and Scanner
54,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
55,HP,Monochrome,N o n e,N o n e,Printer and Scanner
56,Brother,Color,N o n e,N o n e,Printer and Scanner
57,HP,Color,DeskJet InkTank,Wireless,Printer and Scanner
58,HP,Monochrome,N o n e,N o n e,Printer and Scanner
59,HP,Color,N o n e,N o n e,Printer and Scanner
60,Epson,Color,InkTank,N o n e,Printer and Scanner
61,Brother,Color,N o n e,N o n e,Printer and Scanner
62,HP,Color,N o n e,N o n e,Printer and Scanner
63,Brother,Color,N o n e,Wireless,Printer and Scanner
64,HP,Color,Inktank,N o n e,Printer and Scanner
65,Epson,Color,N o n e,N o n e,Printer and Scanner
66,Brother,Color,N o n e,N o n e,Printer and Scanner
67,Canon,Color,N o n e,N o n e,Printer and Scanner
68,HP,Color,InkTank,N o n e,Printer and Scanner
69,Canon,Color,N o n e,N o n e,Printer and Scanner
70,Brother,Color,N o n e,Wireless,Printer and Scanner
71,Canon,Color,Laser,N o n e,Printer and Scanner
72,Epson,N o n e,N o n e,N o n e,Printer and Scanner
73,HP,Monochrome,N o n e,N o n e,Printer and Scanner
74,PANTUM,Monochrome,N o n e,N o n e,Printer and Scanner
75,Brother,Color,N o n e,N o n e,Printer and Scanner
76,HP,Color,InkTank,N o n e,Printer and Scanner
77,PANTUM,Monochrome,N o n e,N o n e,Printer and Scanner
78,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
79,Epson,Color,N o n e,Wireless,Printer and Scanner
80,Canon,Color,N o n e,Wireless,Printer and Scanner
81,HP,Monochrome,LaserJet,N o n e,Printer and Scanner
82,Epson,Color Monochrome,InkTank EcoTank,N o n e,Printer and Scanner
83,HP,Monochrome,LaserJet,N o n e,Printer and Scanner
84,HP,Color,N o n e,N o n e,Printer and Scanner
85,Brother,Color,N o n e,N o n e,Printer and Scanner
86,HP,Monochrome,DeskJet,Wireless,Printer and Scanner
87,Brother,Color,N o n e,Wireless,Printer and Scanner
88,Samsung,Monochrome,N o n e,N o n e,Printer and Scanner
89,Canon,Color,N o n e,N o n e,Printer and Scanner
