Brand,Model
Apple,MacBook Air
Apple,MacBook Pro
HP,EliteBook
HP,Zbook
HP,Notebook
HP,ProBook
HP,Envy
HP,Pavilion
Lenovo,ThinkPad X Series
Lenovo,ThinkPad Edge Series
Lenovo,ThinkPad T Series
Lenovo,ThinkPad L Series
Lenovo,Yoga
Lenovo,Ideapad
Lenovo,Legion
Lenovo,ThinkPad P Series
Dell,G
Dell,Inspiron
Dell,Latitude
Dell,Precision
Dell,Vostro
Dell,XPS
Acer,Packard Bell
Acer,Predator
Acer,Aspire
Acer,TravelMate
Acer,Nitro
Asus,ZenBook
Asus,Vivo
Asus,ROG
Asus,TUF Gaming
Asus,Vivobook
Microsoft,Surface 
Microsoft,SurfacePro
MSI,Modern
MSI,Gaming
Smartron,t-book
Nexstgo,Nexstgo
Avita,Liber
Alienware,Alienware
Alienware,Alienware
AGB,Orion
