Brand,Type,Capacity,Connectivity,Category
Seagate,Portable Hard Drive,1.5 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Toshiba,Portable Hard Drive,4 TB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Lenovo,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,5 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1.5 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Toshiba,Portable Hard Drive,4 TB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Lenovo,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,5 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
Toshiba,Portable Hard Drive,1 TB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0,HardDisk
Lenovo,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,3 TB,USB 2.0 USB 3.0,HardDisk
Seagate,Portable Hard Drive,5 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
TCOS,Portable Hard Drive,250 GB,USB 3.0,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0 USB 2.0,HardDisk
SanDisk,Portable Hard Drive,500 GB,USB 3.1,HardDisk
Seagate,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
SanDisk,Portable Hard Drive,1 TB,USB 3.1,HardDisk
Seagate,Portable Hard Drive,4 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,256 GB,USB 3.0 USB 3.1 USB 2.0,HardDisk
Samsung,Portable Hard Drive,1 TB,USB 3.1,HardDisk
Samsung,Portable Hard Drive,1 TB,USB 3.1,HardDisk
CONSISTENT,Portable Hard Drive,500 GB,USB 3.0,HardDisk
ADATA,Portable Hard Drive,1 TB,USB 3.1,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0 USB 3.1 USB 2.0,HardDisk
Transcend,Portable Hard Drive,1 TB,USB 3.0,HardDisk
WD,Portable Hard Drive,512 GB,USB 3.0 USB 3.1 USB 2.0,HardDisk
Transcend,Portable Hard Drive,2 TB,USB 3.1,HardDisk
WD,Desktop Hard Drive,12 TB,USB 3.0 USB 3.1,HardDisk
Samsung,Portable Hard Drive,500 GB,USB 3.1,HardDisk
TCOS,Portable Hard Drive,320 GB,USB 3.0,HardDisk
Seagate,Portable Hard Drive,1 TB,USB 2.0 USB 3.0,HardDisk
ADATA,Portable Hard Drive,512 GB,USB 3.1,HardDisk
WD,Portable Hard Drive,1 TB,USB 3.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
TCOS,Portable Hard Drive,250 GB,USB 3.0,HardDisk
ADATA,Portable Hard Drive,1 TB,USB 2.0,HardDisk
WD,Portable Hard Drive,256 GB,USB 3.0 USB 3.1 USB 2.0,HardDisk
Toshiba,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,512 GB,USB 3.0 USB 3.1 USB 2.0,HardDisk
SanDisk,Portable Hard Drive,250 GB,USB 3.1,HardDisk
WD,Desktop Hard Drive,4 TB,USB 3.0,HardDisk
WD,Portable Hard Drive,4 TB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,5 TB,USB 3.0 USB 2.0,HardDisk
WD,Portable Hard Drive,2 TB,USB 3.0 USB 2.0,HardDisk
Seagate,Portable Hard Drive,500 GB,USB 2.0 USB 3.0,HardDisk
WD,Portable Hard Drive,4 TB,USB 3.0 USB 2.0,HardDisk
ADATA,Portable Hard Drive,512 GB,USB 3.1,HardDisk
ADATA,Portable Hard Drive,1 TB,USB 3.1,HardDisk
Transcend,Portable Hard Drive,2 TB,USB 3.0,HardDisk
ADATA,Portable Hard Drive,512 GB,USB 3.1,HardDisk
Toshiba,Portable Hard Drive,2 TB,USB 3.0,HardDisk
ADATA,Portable Hard Drive,1 TB,USB 3.1,HardDisk
ADATA,Portable Hard Drive,256 GB,USB 3.1,HardDisk
Sony,Portable Hard Drive,128 GB,USB 3.0,HardDisk
Verbatim,Portable Hard Drive,1 TB,USB 3.0,HardDisk
ADATA,Portable Hard Drive,1 TB,USB 3.0,HardDisk
WESTERN,Portable Hard Drive,1 TB,USB 3.0,HardDisk
