Brand,Model,Processor,RAM,OS,Disk,Dim,Category
Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
HP,EliteBook,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,256 GB SSD,35.56 cm (14 inch) ,Laptop
Dell,Vostro,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,Linux/Ubuntu,1 TB HDD,35.56 cm (14 inch) ,Laptop
HP,Zbook,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,35.56 cm (14 inch) ,Laptop
Lenovo,Ideapad,Intel Core i5 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Asus,Vivo,Intel Core i5 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,39.62 cm (15.6 inch) ,Laptop
MSI,Modern,Intel Core i5 Processor (10th Gen),8 GB DDR4 ,64 bit Windows 10,512 GB SSD,35.56 cm (14 inch) ,Laptop
HP,Envy,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Lenovo,Ideapad,Intel Celeron Dual Core Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Apple,MacBook Air,Intel Core i5 Processor (5th Gen),8 GB DDR3 ,64 bit Mac,128 GB SSD,33.78 cm (13.3 inch) ,Laptop
Lenovo,ThinkPad X Series,Intel Core i7 Processor (8th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
HP,Pavilion,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,256 GB SSD,35.56 cm (14 inch) Touchscreen ,Laptop
Lenovo,Ideapad,AMD APU Dual Core A6 Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Acer,Aspire,Intel Core i3 Processor (8th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Acer,Nitro,Intel Core i7 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) ,Laptop
HP,EliteBook,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
HP,Pavilion,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Dell,Latitude,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,Linux/Ubuntu,1 TB HDD,35.56 cm (14 inch) ,Laptop
HP,Pavilion,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
HP,Pavilion,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 ,64 bit Windows 10,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) ,Laptop
Asus,ROG,Intel Core i5 Processor (9th Gen),8 GB DDR4 ,64 bit Windows 10,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) ,Laptop
HP,Notebook,Intel Core i3 Processor (7th Gen),8 GB DDR4 ,64 bit Windows 10,256 GB SSD,35.56 cm (14 inch) ,Laptop
Lenovo,Ideapad,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
Lenovo,ThinkPad T Series,Intel Core i3 Processor (7th Gen),4 GB DDR4 ,64 bit Windows 10,1 TB HDD,39.62 cm (15.6 inch) ,Laptop
