Brand,Color_type,Print_type,Prod_spec,Category
Canon,Color,None,None,Printer and Scanner
Canon,Color,None,Wireless,Printer and Scanner
HP,Monochrome,LaserJet,Wireless,Printer and Scanner
HP,Monochrome,LaserJet,None,Printer and Scanner
HP,Color,DeskJet,Wireless,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
HP,Color,DeskJet,Wireless,Printer and Scanner
HP,None,DeskJet,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Brother,Color,None,Wireless,Printer and Scanner
Canon,Monochrome,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Epson,Color,None,None,Printer and Scanner
HP,Color,None,Wireless,Printer and Scanner
HP,Monochrome,LaserJet,None,Printer and Scanner
HP,None,DeskJet,None,Printer and Scanner
HP,Color,DeskJet,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
HP,None,DeskJet,None,Printer and Scanner
HP,Color,None,Wireless,Printer and Scanner
HP,Color,INKTANK,Wireless WIRELESS,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Epson,Color,None,None,Printer and Scanner
HP,Color,InkTank,Wireless,Printer and Scanner
HP,Color,Inktank,None,Printer and Scanner
HP,Color,InkTank,None,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Epson,Color,None,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Epson,Color,None,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
Samsung,Monochrome,None,None,Printer and Scanner
Canon,Color,None,Wireless,Printer and Scanner
HP,Color,DeskJet,Wireless,Printer and Scanner
Brother,Monochrome,None,Wireless,Printer and Scanner
Canon,None,Inkjet,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
HP,Color,None,Wireless,Printer and Scanner
Canon,Color,None,Wireless,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
Samsung,Color,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
Xerox,Monochrome,None,Wireless,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
HP,Monochrome,LaserJet,Wireless,Printer and Scanner
HP,Color,DeskJet,None,Printer and Scanner
Samsung,Monochrome,None,None,Printer and Scanner
HP,Monochrome,None,None,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
HP,Color,DeskJet InkTank,Wireless,Printer and Scanner
HP,Monochrome,None,None,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Epson,Color,InkTank,None,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Brother,Color,None,Wireless,Printer and Scanner
HP,Color,Inktank,None,Printer and Scanner
Epson,Color,None,None,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
HP,Color,InkTank,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
Brother,Color,None,Wireless,Printer and Scanner
Canon,Color,Laser,None,Printer and Scanner
Epson,None,None,None,Printer and Scanner
HP,Monochrome,None,None,Printer and Scanner
PANTUM,Monochrome,None,None,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
HP,Color,InkTank,None,Printer and Scanner
PANTUM,Monochrome,None,None,Printer and Scanner
Samsung,Monochrome,None,None,Printer and Scanner
Epson,Color,None,Wireless,Printer and Scanner
Canon,Color,None,Wireless,Printer and Scanner
HP,Monochrome,LaserJet,None,Printer and Scanner
Epson,Color Monochrome,InkTank EcoTank,None,Printer and Scanner
HP,Monochrome,LaserJet,None,Printer and Scanner
HP,Color,None,None,Printer and Scanner
Brother,Color,None,None,Printer and Scanner
HP,Monochrome,DeskJet,Wireless,Printer and Scanner
Brother,Color,None,Wireless,Printer and Scanner
Samsung,Monochrome,None,None,Printer and Scanner
Canon,Color,None,None,Printer and Scanner
PANTUM,Monochrome,None,None,Printer and Scanner
HP,Monochrome,LaserJet,None,Printer and Scanner
Panasonic,Monochrome,None,None,Printer and Scanner
Epson,None,Inkjet,None,Printer and Scanner
Brother,Color Monochrome,Laser,None,Printer and Scanner
PANTUM,Monochrome,Laser,None,Printer and Scanner
