ProdName,Annotations
None Printer and Scanner None Color Canon,"[(0, 4, 'Prod_spec'), (5, 24, 'Category'), (25, 29, 'Print_type'), (30, 35, 'Color_type'), (36, 41, 'Brand')]"
Wireless Printer and Scanner None Color Canon,"[(0, 8, 'Prod_spec'), (9, 28, 'Category'), (29, 33, 'Print_type'), (34, 39, 'Color_type'), (40, 45, 'Brand')]"
Monochrome LaserJet Printer and Scanner Wireless HP,"[(0, 10, 'Color_type'), (11, 19, 'Print_type'), (20, 39, 'Category'), (40, 48, 'Prod_spec'), (49, 51, 'Brand')]"
Printer and Scanner Monochrome LaserJet None HP,"[(0, 19, 'Category'), (20, 30, 'Color_type'), (31, 39, 'Print_type'), (40, 44, 'Prod_spec'), (45, 47, 'Brand')]"
HP Color Printer and Scanner Wireless DeskJet,"[(0, 2, 'Brand'), (3, 8, 'Color_type'), (9, 28, 'Category'), (29, 37, 'Prod_spec'), (38, 45, 'Print_type')]"
Color Canon None Printer and Scanner None,"[(0, 5, 'Color_type'), (6, 11, 'Brand'), (12, 16, 'Print_type'), (17, 36, 'Category'), (37, 41, 'Prod_spec')]"
DeskJet Color Wireless Printer and Scanner HP,"[(0, 7, 'Print_type'), (8, 13, 'Color_type'), (14, 22, 'Prod_spec'), (23, 42, 'Category'), (43, 45, 'Brand')]"
DeskJet Printer and Scanner None HP None,"[(0, 7, 'Print_type'), (8, 27, 'Category'), (28, 32, 'Color_type'), (33, 35, 'Brand'), (36, 40, 'Prod_spec')]"
Wireless Epson Printer and Scanner Color None,"[(0, 8, 'Prod_spec'), (9, 14, 'Brand'), (15, 34, 'Category'), (35, 40, 'Color_type'), (41, 45, 'Print_type')]"
None Color Printer and Scanner Wireless Brother,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 30, 'Category'), (31, 39, 'Prod_spec'), (40, 47, 'Brand')]"
Monochrome Printer and Scanner None None Canon,"[(0, 10, 'Color_type'), (11, 30, 'Category'), (31, 35, 'Prod_spec'), (36, 40, 'Print_type'), (41, 46, 'Brand')]"
Canon Color None Printer and Scanner None,"[(0, 5, 'Brand'), (6, 11, 'Color_type'), (12, 16, 'Prod_spec'), (17, 36, 'Category'), (37, 41, 'Print_type')]"
Color None None Printer and Scanner HP,"[(0, 5, 'Color_type'), (6, 10, 'Prod_spec'), (11, 15, 'Print_type'), (16, 35, 'Category'), (36, 38, 'Brand')]"
Printer and Scanner None None Color Epson,"[(0, 19, 'Category'), (20, 24, 'Print_type'), (25, 29, 'Prod_spec'), (30, 35, 'Color_type'), (36, 41, 'Brand')]"
Printer and Scanner Wireless HP None Color,"[(0, 19, 'Category'), (20, 28, 'Prod_spec'), (29, 31, 'Brand'), (32, 36, 'Print_type'), (37, 42, 'Color_type')]"
None Monochrome Printer and Scanner HP LaserJet,"[(0, 4, 'Prod_spec'), (5, 15, 'Color_type'), (16, 35, 'Category'), (36, 38, 'Brand'), (39, 47, 'Print_type')]"
HP Printer and Scanner None DeskJet None,"[(0, 2, 'Brand'), (3, 22, 'Category'), (23, 27, 'Color_type'), (28, 35, 'Print_type'), (36, 40, 'Prod_spec')]"
Color Printer and Scanner None HP DeskJet,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 30, 'Prod_spec'), (31, 33, 'Brand'), (34, 41, 'Print_type')]"
Color Printer and Scanner None Wireless Epson,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 30, 'Print_type'), (31, 39, 'Prod_spec'), (40, 45, 'Brand')]"
DeskJet Printer and Scanner None None HP,"[(0, 7, 'Print_type'), (8, 27, 'Category'), (28, 32, 'Color_type'), (33, 37, 'Prod_spec'), (38, 40, 'Brand')]"
Printer and Scanner Wireless Color HP None,"[(0, 19, 'Category'), (20, 28, 'Prod_spec'), (29, 34, 'Color_type'), (35, 37, 'Brand'), (38, 42, 'Print_type')]"
Color Wireless WIRELESS HP INKTANK Printer and Scanner,"[(0, 5, 'Color_type'), (6, 23, 'Prod_spec'), (24, 26, 'Brand'), (27, 34, 'Print_type'), (35, 54, 'Category')]"
HP Printer and Scanner None None Color,"[(0, 2, 'Brand'), (3, 22, 'Category'), (23, 27, 'Print_type'), (28, 32, 'Prod_spec'), (33, 38, 'Color_type')]"
None Color None Printer and Scanner Epson,"[(0, 4, 'Print_type'), (5, 10, 'Color_type'), (11, 15, 'Prod_spec'), (16, 35, 'Category'), (36, 41, 'Brand')]"
InkTank Printer and Scanner Color HP Wireless,"[(0, 7, 'Print_type'), (8, 27, 'Category'), (28, 33, 'Color_type'), (34, 36, 'Brand'), (37, 45, 'Prod_spec')]"
Inktank HP None Color Printer and Scanner,"[(0, 7, 'Print_type'), (8, 10, 'Brand'), (11, 15, 'Prod_spec'), (16, 21, 'Color_type'), (22, 41, 'Category')]"
HP None InkTank Color Printer and Scanner,"[(0, 2, 'Brand'), (3, 7, 'Prod_spec'), (8, 15, 'Print_type'), (16, 21, 'Color_type'), (22, 41, 'Category')]"
Color Printer and Scanner HP None None,"[(0, 5, 'Color_type'), (6, 25, 'Category'), (26, 28, 'Brand'), (29, 33, 'Prod_spec'), (34, 38, 'Print_type')]"
